,Дата выпуска,Ссылка на видео в YouTube,Заголовок,Подзаголовок
119,2022-11-11,https://www.youtube.com/watch?v=1Zi9cNgerfo,Убуд. Сатсанги.,Почему не могу пробудиться? Человеку внушили быть несчастливым!
120,2022-10-27,https://www.youtube.com/watch?v=WBTPoeRsKhY,Убуд. Сатсанги.,Что такое дружба? Как правильно дружить?
121,2022-10-25,https://www.youtube.com/watch?v=WaY8c59LTaQ,Убуд. Сатсанги.,Как просветлел Будда? Почему у Будды получилось?
122,2022-10-18,https://www.youtube.com/watch?v=ipV6WQMc4UQ,Убуд. Сатсанги.,Растворение в настоящем моменте. Пробуждение прямо сейчас!
123,2022-10-15,https://www.youtube.com/watch?v=1g4Bqs_nX_k,Убуд. Сатсанги.,"Кто смотрит твоими глазами? Пробуждение ближе, чем то куда ты смотришь"
124,2022-10-13,https://www.youtube.com/watch?v=0A2cdVV-Fog,Убуд. Сатсанги.,Погружение в реальность. Тишина настоящего момента
125,2022-10-11,https://www.youtube.com/watch?v=vGGKcL7PFmY,Убуд. Сатсанги.,Чем заслужить счастье? Как управлять жизнью? Что делать с тревогой?
126,2022-10-09,https://www.youtube.com/watch?v=JKOiZTv0MRs,Убуд. Сатсанги.,Одиночество. Я никому не нужен... Что делать?
127,2022-10-07,https://www.youtube.com/watch?v=tt231sWd-lI,Убуд. Сатсанги.,Ты дверь в истину. Что такое истина?
128,2022-10-05,https://www.youtube.com/watch?v=QBo1rjrw9Hc,Убуд. Сатсанги.,Как контролировать ум? Ум - враг или друг?
129,2022-09-27,https://www.youtube.com/watch?v=8t2Q0R6cCqs,Убуд. Сатсанги.,Желания - страдания? Как не страдать? Как правильно желать?
130,2022-09-25,https://www.youtube.com/watch?v=ayo9dLnWkg4,Убуд. Сатсанги.,Секрет медитации
131,2022-09-22,https://www.youtube.com/watch?v=Z-68LEmxIe4,Убуд. Сатсанги.,Как ты упускаешь жизнь?
132,2022-09-19,https://www.youtube.com/watch?v=c0MmaJWqgD0,Убуд. Сатсанги.,Что будет после смерти?
133,2022-09-17,https://www.youtube.com/watch?v=RIzU4V_1zDY,Убуд. Сатсанги.,Гармоничная женщина и пробуждение
134,2022-09-14,https://www.youtube.com/watch?v=BAfGWZKVlOY,Убуд. Сатсанги.,Что такое пробуждение?
135,2022-09-10,https://www.youtube.com/watch?v=noUnL3CTwQ0,Убуд. Сатсанги.,Тайна предназначения человеческой жизни!
136,2022-09-08,https://www.youtube.com/watch?v=TXscyOsp9Ck,Убуд. Сатсанги.,Как пробудиться? Надоела грустная и одинокая жизнь?
137,2022-09-05,https://www.youtube.com/watch?v=nG18JyCtQ_I,Убуд. Сатсанги.,Изменим жизнь за 24 часа!
138,2022-09-03,https://www.youtube.com/watch?v=SDoBI2hUhHY,Убуд. Сатсанги.,Дисциплина и спонтанность
139,2022-08-30,https://www.youtube.com/watch?v=p9492cnx5qE,Убуд. Сатсанги.,Как происходит смерь эго? Просветление и обморок
140,2022-08-28,https://www.youtube.com/watch?v=b7E1-ccHVRA,Убуд. Сатсанги.,Быть или не быть?! Кто я и как жить?
141,2022-08-27,https://www.youtube.com/watch?v=P6-vOX7vpqQ,Убуд. Сатсанги.,Почему мужчины изменяют?
142,2022-08-25,https://www.youtube.com/watch?v=qhn57iVyp80,Убуд. Сатсанги.,Деньги решают все? Ценности 21 века
143,2022-08-18,https://www.youtube.com/watch?v=N5qCX-V-9oA,Убуд. Сатсанги.,Минусы на пути к просветлению. Выход есть
